NAME,ARTIST
HYPERLINK(${value.name},Skid Row
HYPERLINK(${value.name},(hed) p.e.
HYPERLINK(${value.name},Icarus Witch
HYPERLINK(${value.name},Flobots
HYPERLINK(${value.name},Pantera
HYPERLINK(${value.name},Three Days Grace
HYPERLINK(${value.name},From Ashes to New
HYPERLINK(${value.name},Fall Out Boy
HYPERLINK(${value.name},
HYPERLINK(${value.name},Animania Soundtrack
HYPERLINK(${value.name},Sum 41
HYPERLINK(${value.name},Rise Against
HYPERLINK(${value.name},Red Hot Chili Peppers
HYPERLINK(${value.name},SR-71
HYPERLINK(${value.name},Rage Against The Machine
HYPERLINK(${value.name},Black Sabbath
HYPERLINK(${value.name},Crazy Town
HYPERLINK(${value.name},Tenacious D
HYPERLINK(${value.name},The Unseen
HYPERLINK(${value.name},Buzzcocks
HYPERLINK(${value.name},Stuck in the Sound
HYPERLINK(${value.name},Death
HYPERLINK(${value.name},SIAMES
HYPERLINK(${value.name},Dope
HYPERLINK(${value.name},The Doors
HYPERLINK(${value.name},Burzum
HYPERLINK(${value.name},Disturbed
HYPERLINK(${value.name},Blue Foundation
HYPERLINK(${value.name},Hollywood Undead
HYPERLINK(${value.name},Limp Bizkit
HYPERLINK(${value.name},Thousand Foot Krutch
HYPERLINK(${value.name},From Ashes To New
HYPERLINK(${value.name},Anti-Flag
HYPERLINK(${value.name},Finger Eleven
HYPERLINK(${value.name},Theory Of A Deadman
HYPERLINK(${value.name},Cage The Elephant
HYPERLINK(${value.name},Royal Republic
HYPERLINK(${value.name},Iron Maiden
HYPERLINK(${value.name},Jet
HYPERLINK(${value.name},The Clash
HYPERLINK(${value.name},Caesars
